sentence,lemmatized,pos tags,noun chunks
"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweis-Items eines Sicherungsprojekts zu löschen.","('muss', 'muss')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis-Item')
('bieten', 'bieten')
('löschen', 'löschen')
('Nachweis-Items', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekts', 'Sicherung Projekt')","('muss', 'VERB')
('bieten', 'VERB')
('löschen', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis Item')
('Nutzer', 'Nutzer')
('Nachweis-Items eines Sicherungsprojekts', ' Nachweis Item ein Sicherung Projekt')
('Opencoss-Plattform', 'Opencoss Plattform')"
"Wenn ein Nutzer ein Nachweis-Item aus einem Sicherungsprojekt löschen möchte, muss die OPENCOSS-Plattform vom Nutzer eine Bestätigung für diese Aktion und die nachfolgenden damit verbundenen Aktionen anfordern.","('löschen', 'löschen')
('möchte', 'mögen')
('muss', 'muss')
('nachfolgenden', 'nachfolgend')
('Nutzer', 'Nutzer')
('Nachweis-Item', 'Nachweis-Item')
('Bestätigung', 'Bestätigung')
('Aktion', 'Aktion')
('Aktionen', 'Aktion')
('verbundenen', 'verbunden')
('anfordern', 'anfordern')
('Sicherungsprojekt', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')","('löschen', 'VERB')
('möchte', 'VERB')
('muss', 'VERB')
('nachfolgenden', 'ADJ')
('verbundenen', 'ADJ')
('anfordern', 'VERB')","('Nutzer', 'Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekt', 'Sicherung Projekt')
('Aktion', 'Aktion')
('Nachweis-Item', 'Nachweis Item')
('Bestätigung', 'Bestätigung')
('nachfolgenden damit verbundenen Aktionen', 'nachfolgend damit verbunden Aktion')"
"Wenn ein Nachweis-Item aus einem Sicherungsprojekt gelöscht wird, muss die OPENCOSS-Plattform alle Beweisinformationen (Arten und Merkmale), die sich auf das Nachweis-Item aus dem Projekt beziehen löschen.","('gelöscht', 'löschen')
('wird', 'sein')
('muss', 'muss')
('Nachweis-Item', 'Nachweis-Item')
('Beweisinformationen', 'Beweisinformation')
('Arten', 'Art')
('Merkmale', 'Merkmal')
('Projekt', 'Projekt')
('beziehen', 'beziehen')
('löschen', 'löschen')
('Sicherungsprojekt', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Beweisinformationen', 'Beweis Information')","('gelöscht', 'VERB')
('muss', 'VERB')
('beziehen', 'VERB')","('Merkmale', 'Merkmal')
('Arten', 'Art')
('Beweisinformationen', 'Beweis Information')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekt', 'Sicherung Projekt')
('Projekt', 'Projekt')
('Nachweis-Item', 'Nachweis Item')"
"Wenn ein Nachweis-Item aus einem Sicherungsprojekt gelöscht wird und sein zugehöriges Artefakt nicht mit anderen Nachweis-Items verbunden ist, muss die OPENCOSS-Plattform das Artefakt aus dem Projekt löschen.","('gelöscht', 'löschen')
('zugehöriges', 'zugehörig')
('Nachweis-Item', 'Nachweis-Item')
('Artefakt', 'Artefakt')
('Nachweis-Items', 'Nachweis-Item')
('Projekt', 'Projekt')
('anderen', 'ander')
('verbunden', 'verbinden')
('muss', 'muss')
('löschen', 'löschen')
('Sicherungsprojekt', 'Sicherung Projekt')
('wird', 'sein')
('Nachweis-Items', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')","('gelöscht', 'VERB')
('zugehöriges', 'ADJ')
('anderen', 'ADJ')
('verbunden', 'VERB')
('muss', 'VERB')","('Nachweis-Items', 'Nachweis Item')
('zugehöriges Artefakt', 'zugehörig Artefakt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekt', 'Sicherung Projekt')
('Projekt', 'Projekt')
('Nachweis-Item', 'Nachweis Item')
('Artefakt', 'Artefakt')"
"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Informationen der Nachweis-Items eines Sicherungsprojekts zu ändern.","('muss', 'muss')
('bieten', 'bieten')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Informationen', 'Information')
('Nachweis-Items', 'Nachweis-Item')
('ändern', 'ändern')
('Nachweis-Items', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekts', 'Sicherung Projekt')","('muss', 'VERB')
('bieten', 'VERB')
('ändern', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('Möglichkeit', 'Möglichkeit')
('Informationen', 'Information')
('Nachweis-Items', 'Nachweis Item')
('Nachweis-Items eines Sicherungsprojekts', ' Nachweis Item ein Sicherung Projekts')
('Nutzer', 'Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')"
"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweis-Items in ein Sicherungsprojekt zu kopieren, die zuvor in einem anderen Sicherungsprojekt gespeichert wurden.","('muss', 'muss')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis-Item')
('bieten', 'bieten')
('kopieren', 'kopieren')
('anderen', 'ander')
('gespeichert', 'speichern')
('Sicherungsprojekt', 'Sicherung Projekt')
('Nachweis-Items', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('wurden', 'sein')","('muss', 'VERB')
('bieten', 'VERB')
('kopieren', 'VERB')
('anderen', 'ADJ')
('gespeichert', 'VERB')","('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis Item')
('Nutzer', 'Nutzer')
('anderen Sicherungsprojekt', 'ander Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekt', 'Sicherung Projekt')"
"Die OPENCOSS-Plattform muss die Zeit und das Datum der Aktionen, die an den Nachweis-Items eines Sicherungsprojekts durchgeführt wurden, speichern.","('muss', 'muss')
('durchgeführt', 'durchführen')
('wurden', 'sein')
('Zeit', 'Zeit')
('Datum', 'Datum')
('Aktionen', 'Aktion')
('Nachweis-Items', 'Nachweis-Item')
('speichern', 'speichern')
('Nachweis-Items', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekts', 'Sicherung Projekt')","('muss', 'VERB')
('durchgeführt', 'VERB')
('speichern', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('Nachweis-Items', 'Nachweis Item')
('Datum', 'Datum')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis Item ein Sicherung Projekt')
('Zeit', 'Zeit')
('Aktionen', 'Aktion')"
Die OPENCOSS-Plattform muss das Nachweis-Repository eines Sicherungsprojekts aus dessen Nachweis-Charakterisierungsmodell erstellen.,"('muss', 'muss')
('Nachweis-Repository', 'Nachweis-Reopsitory')
('Nachweis-Charakterisierungsmodell', 'Nachweis Charakterisierung Modell')
('erstellen', 'erstellen')
('Nachweis-Repository', 'Nachweis Repository')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekts', 'Sicherung Projekt')
('Nachweis-Charakterisierungsmodell', 'Nachweis Charakterisierungs Modell')","('muss', 'VERB')
('erstellen', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('Nachweis-Repository', 'Nachweis Repository')
('das Nachweis-Repository eines Sicherungsprojekts', 'der Nachweis Repository ein Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Charakterisierungsmodell', 'Nachweis Charakterisierung Modell')"
"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Merkmalsspezifikationen des Nachweis-Items eines Sicherungsprojekts als vollständig auszuzeichnen.","('muss', 'muss')
('bieten', 'bieten')
('vollständig', 'vollständig')
('auszuzeichnen', 'auszeichnen')
('Nutzer', 'Nutzer')
('Merkmalsspezifikationen', 'Merkmal Spezifikation')
('Nachweis-Items', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Items', 'Nachweis-Item')
('Möglichkeit', 'Möglichkeit')
('Sicherungsprojekts', 'Sicherung Projekt')","('muss', 'VERB')
('bieten', 'VERB')
('vollständig', 'ADJ')
('auszuzeichnen', 'VERB')","('Merkmalsspezifikationen', 'Merkmal Spezifikation')
('Möglichkeit', 'Möglichkeit')
('Sicherungsprojekts', 'Sicherung Projekt')
('Nachweis-Items', 'Nachweis Item')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis Item ein Sicherung Projekt')
('Merkmalsspezifikationen des Nachweis-Items eines Sicherungsprojekts', 'Merkmal Spezifikation Nachweis Item ein Sicherung Projekt')
('Nutzer', 'Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')"
"Wenn die Merkmalsspezifikation für ein Nachweis-Item eines Sicherungsprojekts als vollständig angesehen wird, muss die OPENCOSS-Plattform das Nachweis-Item grün einfärben.","('vollständig', 'vollständig')
('Merkmalsspezifikation', 'Merkmal Spezifikation')
('angesehen', 'ansehen')
('muss', 'muss')
('grün', 'grün')
('einfärben', 'einfärben')
('Nachweis-Item', 'Nachweis-Item')
('wird', 'sein')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekts', 'Sicherung Projekt')","('vollständig', 'ADJ')
('angesehen', 'VERB')
('muss', 'VERB')
('grün', 'ADJ')
('einfärben', 'VERB')","('Merkmalsspezifikation', 'Merkmal Spezifikation')
('Sicherungsprojekts', 'Sicherung Projekt')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis Item ein Sicherung Projekt')
('Nachweis-Item', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')"
"Wenn die Merkmalsspezifikation für ein Nachweis-Item eines Sicherungsprojekts nicht als vollständig angesehen wird, muss die OPENCOSS-Plattform das Nachweis-Item gelb einfärben.","('vollständig', 'vollständig')
('Merkmalsspezifikation', 'Merkmal Spezifikation')
('angesehen', 'ansehen')
('muss', 'muss')
('gelb', 'gelb')
('einfärben', 'einfärben')
('Nachweis-Item', 'Nachweis-Item')
('wird', 'sein')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekts', 'Sicherung Projekt')","('vollständig', 'ADJ')
('angesehen', 'VERB')
('muss', 'VERB')
('gelb', 'ADJ')
('einfärben', 'VERB')","('Merkmalsspezifikation', 'Merkmal Spezifikation')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis Item ein Sicherung Projekt')
('Sicherungsprojekts', 'Sicherung Projekt')
('Nachweis-Item', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')"
Die OPENCOSS-Plattform muss die Menge der Nachweis-Items eines Sicherungsprojekts mittels einer Baumansicht anzeigen.,"('muss', 'muss')
('Menge', 'Menge')
('Nachweis-Item', 'Nachweis-Item')
('Baumansicht', 'Baum Ansicht')
('anzeigen', 'anzeigen')
('Nachweis-Items', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Items', 'Nachweis-Item')
('Sicherungsprojekts', 'Sicherung Projekt')","('muss', 'VERB')
('anzeigen', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('Baumansicht', 'Baum Ansicht')
('Nachweis-Items', 'Nachweis Item')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis Item ein Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Menge', 'Menge')"
"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, für die Anzeige der Nachweis-Items eines Sicherungsprojekts, Zwischenknoten in der Baumansicht zu definieren.","('muss', 'muss')
('Nuzter', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Anzeige', 'Anzeige')
('Nachweis-Items', 'Nachweis-Item')
('Baumansicht', 'Baum Ansicht')
('bieten', 'bieten')
('definieren', 'definieren')
('Nutzer', 'Nutzer')
('Zwischenknoten', 'Zwischen Knote')
('Nachweis-Items', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekts', 'Sicherung Projekt')","('muss', 'VERB')
('bieten', 'VERB')
('definieren', 'VERB')","('Anzeige', 'Anzeige')
('Möglichkeit', 'Möglichkeit')
('Sicherungsprojekts', 'Sicherung Projekt')
('Nachweis-Items', 'Nachweis Item')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis Item ein Sicherung Projekt')
('Nutzer', 'Nutzer')
('Baumansicht', 'Baum Ansicht')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekts Zwischenknoten', 'Sicherung Projekt Zwischen Knoten')"
"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, für die Anzeige der Nachweis-Items eines Sicherungsprojekts, Zwischenknoten in der Baumansicht zu modifizieren.","('muss', 'muss')
('Nuzter', 'Nutzer')
('Anzeige', 'Anzeige')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis-Item')
('Baumansicht', 'Baum Ansicht')
('bieten', 'bieten')
('modifizieren', 'modifizieren')
('Nutzer', 'Nutzer')
('Zwischenknoten', 'Zwischen Knote')
('Nachweis-Items', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekts', 'Sicherung Projekt')","('muss', 'VERB')
('bieten', 'VERB')
('modifizieren', 'VERB')","('Anzeige', 'Anzeige')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis Item')
('Nutzer', 'Nutzer')
('Baumansicht', 'Baum Ansicht')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis Item ein Sicherung Projekt')
('Zwischenknoten', 'Zwischen Knoten')"
"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, für die Anzeige der Nachweis-Items eines Sicherungsprojekts, Zwischenknoten in der Baumansicht zu löschen.","('muss', 'muss')
('Möglichkeit', 'Möglichkeit')
('Nuzter', 'Nutzer')
('Baumansicht', 'Baum Ansicht')
('Nachweis-Items', 'Nachweis-Item')
('Anzeige', 'Anzeige')
('bieten', 'bieten')
('löschen', 'löschen')
('Nutzer', 'Nutzer')
('Zwischenknoten', 'Zwischen Knote')
('Nachweis-Items', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekts', 'Sicherung Projekt')","('muss', 'VERB')
('bieten', 'VERB')
('löschen', 'VERB')","('Anzeige', 'Anzeige')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis Item')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis Item ein Sicherung Projekt')
('Nutzer', 'Nutzer')
('Baumansicht', 'Baum Ansicht')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Zwischenknoten', 'Zwischen Knoten')"
"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, für die Anzeige der Nachweis-Items eines Sicherungsprojekts in der Baumansicht, Zwischenknoten mit Nachweis-Items zu verknüpfen.","('muss', 'muss')
('Möglichkeit', 'Möglichkeit')
('Anzeige', 'Anzeige')
('Nutzer', 'Nutzer')
('Nachweis-Items', 'Nachweis-Item')
('Baumansicht', 'Baum Ansicht')
('Nachweis-Items', 'Nachweis-Item')
('bieten', 'bieten')
('verknüpfen', 'verknüpfen')
('Zwischenknoten', 'Zwischen Knote')
('Nachweis-Items', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekts', 'Sicherung Projekt')","('muss', 'VERB')
('bieten', 'VERB')
('verknüpfen', 'VERB')","('Zwischenknoten', 'Zwischen Knoten')
('Sicherungsprojekts', 'Sicherung Projekt')
('Anzeige', 'Anzeige')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis Item')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis Item ein Sicherung Projekt')
('Nutzer', 'Nutzer')
('Baumansicht', 'Baumansicht')
('Zwischenknoten', 'Zwischen Knoten')
('OPENCOSS-Plattform', 'Opencoss Plattform')"
"Wenn für ein Sicherungsprojekts ein Nachweis-Charakterisierungsmodell ausgewählt wurde, muss die OPENCOSS-Plattform Zwischenknoten für die Baumansicht zur Anzeige der Nachweis-Items eines Projekts gemäß dem Nachweis-Charakterisierungsmodell vorschlagen.","('ausgewählt', 'auswählen')
('Anzeige', 'Anzeige')
('Baumansicht', 'Baum Ansicht')
('Nachweis-Items', 'Nachweis-Item')
('Nachweis-Charakterisierungsmodell', 'Nachweis Charakterisierung Modell')
('Projekts', 'Projekt')
('muss', 'muss')
('vorschlagen', 'vorschlagen')
('Zwischenknoten', 'Zwischen Knote')
('Nachweis-Items', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekts', 'Sicherung Projekt')
('Nachweis-Charakterisierungsmodell', 'Nachweis Charakterisierungs Modell')","('ausgewählt', 'VERB')
('muss', 'VERB')
('vorschlagen', 'VERB')","('Zwischenknoten', 'Zwischen Knoten')
('Sicherungsprojekts', 'Sicherung Projekt')
('Anzeige', 'Anzeige')
('Baumansicht', 'Baum Ansicht')
('Nachweis-Items', 'Nachweis Item')
('Projekts', 'Projekt')
('Nachweis-Items eines Projekts', 'Nachweis Item ein Projekt')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis Item ein Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Charakterisierungsmodell', 'Nachweis Charakterisierung Modell')"
