;sentence;lemmatized_spaCy;pos tags spaCy;noun chunks spaCy;lemmatized_NLTK;pos tags NLTK;noun chunks NLTK;lemmatized_TreeTagger;pos tags TreeTagger;noun chunks TreeTagger
26;"Wenn für ein Sicherungsprojekts ein Nachweis-Charakterisierungsmodell ausgewählt wurde, muss die OPENCOSS-Plattform Zwischenknoten für die Baumansicht zur Anzeige der Nachweis-Items eines Projekts gemäß dem Nachweis-Charakterisierungsmodell vorschlagen.
";"('ausgewählt', 'auswählen')
('muss', 'muss')
('vorschlagen', 'vorschlagen')
('Sicherungsprojekts', 'Sicherungsprojekts')
('Nachweis-Charakterisierungsmodell', 'Nachweis-Charakterisierungsmodell')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Zwischenknoten', 'Zwischenknoten')
('Baumansicht', 'Baumansicht')
('Anzeige', 'Anzeige')
('Nachweis-Items', 'Nachweis-Items')
('Projekts', 'Projekt')
('Nachweis-Charakterisierungsmodell', 'Nachweis-Charakterisierungsmodell')";"('ausgewählt', 'VERB')
('muss', 'VERB')
('vorschlagen', 'VERB')";"('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Items', 'Nachweis Item')
('Anzeige', ' Anzeige')
('Zwischenknoten', 'Zwischen Knoten')
('Baumansicht', ' Baumansicht')
('Projekts', ' Projekt')
('Nachweis-Charakterisierungsmodell', 'Nachweis Charakterisierungs Modell')";"('wurde', 'werden')
('OPENCOSS-Plattform', 'Opencoss-Plattform')
('vorschlagen', 'vorschlagen')
('Sicherungsprojekts ein Nachweis-Charakterisierungsmodell ausgewählt', 'Sicherungsprojekts ein Nachweis-Charakterisierungsmodell ausgewählt')
('OPENCOSS-Plattform Zwischenknoten', 'opencoss-plattform Zwischenknoten')
('Nachweis-Items eines Projekts', 'Nachweis-Items ein Projekts')";"('wurde', 'VB')
('OPENCOSS-Plattform', 'JJ')
('vorschlagen', 'VB')";"('Sicherungsprojekts ein Nachweis-Charakterisierungsmodell ausgewählt', 'Sicherung Projekt einen Nachweis Charakterisierungs Modell auswählen')
('OPENCOSS-Plattform Zwischenknoten', 'Opencoss Plattform Zwischen Knoten')
('Nachweis-Items eines Projekts', 'Nachweis Item einen Projekt')";"('ausgewählt', 'auswählen')
('wurde', 'werden')
('muss', 'müssen')
('vorschlagen', 'vorschlagen')
('Nachweis-Charakterisierungsmodell', 'Nachweis-Charakterisierungsmodell')
('OPENCOSS-Plattform Zwischenknoten', 'OPENCOSS-Plattform Zwischenknoten')
('Nachweis-Items', 'Nachweis-Items')
('Projekts', 'Projekt')";;"('Nachweis-Charakterisierungsmodell', 'Nachweis Charakterisierungs Modell')
('OPENCOSS-Plattform Zwischenknoten', 'Opencoss Plattform zwischen Knoten')
('Nachweis-Items', 'Nachweis Item')
('Projekts', 'Projekt')
('Nachweis-Charakterisierungsmodell', 'Nachweis Charakterisierungs Modell')
('OPENCOSS-Plattform Zwischenknoten', 'Opencoss Plattform zwischen Knoten')
('Nachweis-Items', 'Nachweis Item')
('Projekts', 'Projekt')"
27;"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Nachweis-Items eines Sicherungsprojekts in die Baumstruktur, zur Anzeige der Nachweis-Items eines Projekts, aufzunehmen.
";"('muss', 'muss')
('bieten', 'bieten')
('aufzunehmen', 'aufnehmen')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis-Items')
('Sicherungsprojekts', 'Sicherungsprojekts')
('Baumstruktur', 'Baumstruktur')
('Anzeige', 'Anzeige')
('Nachweis-Items', 'Nachweis-Items')
('Projekts', 'Projekt')";"('muss', 'VERB')
('bieten', 'VERB')
('aufzunehmen', 'VERB')";"('Sicherungsprojekts', 'Sicherung Projekt')
('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Baumstruktur', ' Baumstruktur')
('Nachweis-Items', 'Nachweis Item')
('Möglichkeit', ' Möglichkeit')
('Anzeige', ' Anzeige')
('Projekts', ' Projekt')";"('muss', 'müssen')
('bieten', 'bieten')
('aufzunehmen', 'aufzunehmen')
('Nutzer die Möglichkeit', 'Nutzer die Möglichkeit')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis-Items ein Sicherungsprojekts')
('Nachweis-Items eines Projekts', 'Nachweis-Items ein Projekts')";"('muss', 'VB')
('bieten', 'VB')
('aufzunehmen', 'VB')";"('Nutzer die Möglichkeit', 'Nutzer der Möglichkeit')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis Item einen Sicherung Projekt')
('Nachweis-Items eines Projekts', 'Nachweis Item einen Projekt')";"('muss', 'müssen')
('bieten', 'bieten')
('aufzunehmen', 'aufnehmen')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis-Items')
('Sicherungsprojekts', 'Sicherungsprojekts')
('Nachweis-Items', 'Nachweis-Items')
('Projekts', 'Projekt')";;"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis Item')
('Sicherungsprojekts', 'Sicherung Projekt')
('Nachweis-Items', 'Nachweis Item')
('Projekts', 'Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis Item')
('Sicherungsprojekts', 'Sicherung Projekt')
('Nachweis-Items', 'Nachweis Item')
('Projekts', 'Projekt')"
28;"Wenn ein Nachweis-Charakterisierungsmodell für ein Sicherungsprojekts ausgewählt wurde, die Nachweis-Items des Projekts mit Nachweisarten verknüpft sind und die Nachweisarten für die Definition von Zwischenknoten der Baumansicht, zur Anzeige der Nachweis-Items des Projekts, verwendet wurden, muss die OPENCOSS-Plattform die Nachweis-Items des Projekts automatisch in die Knoten der Baumansicht ihrer verknüpften Nachweisarten aufnehmen.
";"('ausgewählt', 'auswählen')
('verknüpft', 'verknüpfen')
('verwendet', 'verwenden')
('muss', 'muss')
('automatisch', 'automatisch')
('verknüpften', 'verknüpfen')
('aufnehmen', 'aufnehmen')
('Nachweis-Charakterisierungsmodell', 'Nachweis-Charakterisierungsmodell')
('Sicherungsprojekts', 'Sicherungsprojekts')
('Nachweis-Items', 'Nachweis-Items')
('Projekts', 'Projekt')
('Nachweisarten', 'Nachweisarten')
('Nachweisarten', 'Nachweisarten')
('Definition', 'Definition')
('Zwischenknoten', 'Zwischenknoten')
('Baumansicht', 'Baumansicht')
('Anzeige', 'Anzeige')
('Nachweis-Items', 'Nachweis-Items')
('Projekts', 'Projekt')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nachweis-Items', 'Nachweis-Items')
('Projekts', 'Projekt')
('Knoten', 'Knoten')
('Baumansicht', 'Baumansicht')
('verknüpften Nachweisarten', 'verknüpfen Nachweisarten')";"('ausgewählt', 'VERB')
('verknüpft', 'VERB')
('verwendet', 'VERB')
('muss', 'VERB')
('automatisch', 'ADJ')
('verknüpften', 'ADJ')
('aufnehmen', 'VERB')";"('Nachweis-Charakterisierungsmodell', 'Nachweis Charakterisierungs Modell')
('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('verknüpften Nachweisarten', 'verknüpften Nachweisarten')
('Nachweis-Items', 'Nachweis Item')
('Baumansicht', ' Baumansicht')
('Anzeige', ' Anzeige')
('Nachweisarten', ' Nachweisarten')
('Zwischenknoten', 'Zwischen Knoten')
('Definition', ' Definition')
('Knoten', ' Knoten')
('Projekts', ' Projekt')";"('wurde', 'werden')
('sind', 'sein')
('wurden', 'werden')
('automatisch', 'automatisch')
('aufnehmen', 'aufnehmen')
('Sicherungsprojekts ausgewählt', 'sicherungsprojekts ausgewählt')
('OPENCOSS-Plattform die Nachweis-Items', 'Opencoss-Plattform die Nachweis-Items')
('Baumansicht ihrer', 'Baumansicht ihrer')";"('wurde', 'VB')
('sind', 'VB')
('wurden', 'VB')
('automatisch', 'JJ')
('aufnehmen', 'VB')";"('Sicherungsprojekts ausgewählt', 'Sicherung Projekt auswählen')
('OPENCOSS-Plattform die Nachweis-Items', 'Opencoss Plattform der Nachweis Item')
('Baumansicht ihrer', 'Baumansicht sich')";"('ausgewählt', 'auswählen')
('wurde', 'werden')
('verknüpft', 'verknüpfen')
('sind', 'sein')
('verwendet', 'verwenden')
('wurden', 'werden')
('muss', 'müssen')
('automatisch', 'automatisch')
('verknüpften', 'verknüpft')
('aufnehmen', 'aufnehmen')
('Nachweis-Charakterisierungsmodell', 'Nachweis-Charakterisierungsmodell')
('Nachweis-Items', 'Nachweis-Items')
('Projekts', 'Projekt')
('Nachweisarten', 'Nachweisarten')
('Baumansicht', 'Baumansicht')
('Nachweis-Items', 'Nachweis-Items')
('Projekts', 'Projekt')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nachweis-Items', 'Nachweis-Items')
('Projekts', 'Projekt')
('Baumansicht', 'Baumansicht')
('ihrer verknüpften Nachweisarten', 'ihr verknüpft Nachweisarten')";"('automatisch', 'ADJ')
('verknüpft', 'ADJ')";"('Nachweis-Charakterisierungsmodell', 'Nachweis Charakterisierungs Modell')
('Nachweis-Items', 'Nachweis Item')
('Projekts', 'Projekt')
('Nachweisarten', 'Nachweisarten')
('Baumansicht', 'Baumansicht')
('Nachweis-Items', 'Nachweis Item')
('Projekts', 'Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Items', 'Nachweis Item')
('Projekts', 'Projekt')
('Baumansicht', 'Baumansicht')
('ihrer verknüpften Nachweisarten', 'ihr verknüpft Nachweisarten')
('Nachweis-Charakterisierungsmodell', 'Nachweis Charakterisierungs Modell')
('Nachweis-Items', 'Nachweis Item')
('Projekts', 'Projekt')
('Nachweisarten', 'Nachweisarten')
('Baumansicht', 'Baumansicht')
('Nachweis-Items', 'Nachweis Item')
('Projekts', 'Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Items', 'Nachweis Item')
('Projekts', 'Projekt')
('Baumansicht', 'Baumansicht')
('ihrer verknüpften Nachweisarten', 'ihr verknüpft Nachweisarten')"
29;"Die OPENCOSS-Plattform muss fähig sein, Berichte über den Nachweisbeleg eines Sicherungsprojekts in Form von HTML-Dateien zu generieren.
";"('muss', 'muss')
('fähig', 'fähig')
('generieren', 'generieren')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Berichte', 'Bericht')
('Nachweisbeleg', 'Nachweisbeleg')
('Sicherungsprojekts', 'Sicherungsprojekts')
('Form', 'Form')
('HTML-Dateien', 'HTML-Dateien')";"('muss', 'VERB')
('fähig', 'ADJ')
('generieren', 'VERB')";"('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('HTML-Dateien', ' HTML-Dateien')
('Form', ' Form')
('Nachweisbeleg', ' Nachweisbeleg')
('Berichte', ' Bericht')";"('muss', 'müssen')
('fähig', 'fähig')
('sein', 'sein')
('generieren', 'generieren')
('den Nachweisbeleg eines Sicherungsprojekts', 'den Nachweisbeleg ein Sicherungsprojekts')";"('muss', 'VB')
('fähig', 'JJ')
('sein', 'VB')
('generieren', 'VB')";('den Nachweisbeleg eines Sicherungsprojekts', 'der Nachweisbeleg einen Sicherung Projekt');"('muss', 'müssen')
('fähig', 'fähig')
('sein', 'sein')
('generieren', 'generieren')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Berichte', 'Bericht')
('Sicherungsprojekts', 'Sicherungsprojekts')";('fähig', 'ADJ');"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Berichte', 'Bericht')
('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Berichte', 'Bericht')
('Sicherungsprojekts', 'Sicherung Projekt')"
30;"Die OPENCOSS-Plattform muss fähig sein, Berichte über den Nachweisbeleg eines Sicherungsprojekts anhand von Dokumenten in den Formaten PDF, RTF und MS Word zu erstellen.
";"('muss', 'muss')
('fähig', 'fähig')
('erstellen', 'erstellen')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Berichte', 'Bericht')
('Nachweisbeleg', 'Nachweisbeleg')
('Sicherungsprojekts', 'Sicherungsprojekts')
('Dokumenten', 'Dokument')
('Formaten PDF', 'Format PDF')
('RTF', 'RTF')
('MS Word', 'MS Word')";"('muss', 'VERB')
('fähig', 'ADJ')
('erstellen', 'VERB')";"('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('RTF', ' RTF')
('Formaten PDF', 'Formaten PDF')
('Nachweisbeleg', ' Nachweisbeleg')
('Dokumenten', ' Dokument')
('Berichte', ' Bericht')
('MS Word', 'MS Word')";"('muss', 'müssen')
('fähig', 'fähig')
('sein', 'sein')
('erstellen', 'erstellen')
('den Nachweisbeleg eines Sicherungsprojekts', 'den Nachweisbeleg ein Sicherungsprojekts')
('den Formaten PDF', 'den Format Pdf')
('MS Word', 'Ms Word')";"('muss', 'VB')
('fähig', 'JJ')
('sein', 'VB')
('erstellen', 'VB')";"('den Nachweisbeleg eines Sicherungsprojekts', 'der Nachweisbeleg einen Sicherung Projekt')
('den Formaten PDF', 'der Format PDF')
('MS Word', 'MS Word')";"('muss', 'müssen')
('fähig', 'fähig')
('sein', 'sein')
('erstellen', 'erstellen')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Berichte', 'Bericht')
('Sicherungsprojekts', 'Sicherungsprojekts')";('fähig', 'ADJ');"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Berichte', 'Bericht')
('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Berichte', 'Bericht')
('Sicherungsprojekts', 'Sicherung Projekt')"
31;"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Informationen, die in den Berichten über die Nachweisbelege eines Sicherungsprojekts enthalten sein sollen, anzugeben.
";"('muss', 'muss')
('bieten', 'bieten')
('enthalten', 'enthalten')
('sollen', 'sollen')
('anzugeben', 'angeben')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Informationen', 'Information')
('Berichten', 'Bericht')
('Nachweisbelege', 'Nachweisbelege')
('Sicherungsprojekts', 'Sicherungsprojekts')";"('muss', 'VERB')
('bieten', 'VERB')
('enthalten', 'VERB')
('sollen', 'VERB')
('anzugeben', 'VERB')";"('Sicherungsprojekts', 'Sicherung Projekt')
('Informationen', ' Information')
('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Möglichkeit', ' Möglichkeit')
('Berichten', ' Bericht')
('Nachweisbelege', 'Nachweis Beleg')";"('muss', 'müssen')
('bieten', 'bieten')
('sein', 'sein')
('anzugeben', 'anzugeben')
('Nutzer die Möglichkeit', 'Nutzer die Möglichkeit')
('den Berichten', 'den Berichten')
('Nachweisbelege eines Sicherungsprojekts', 'Nachweisbelege ein Sicherungsprojekts')";"('muss', 'VB')
('bieten', 'VB')
('sein', 'VB')
('anzugeben', 'VB')";"('Nutzer die Möglichkeit', 'Nutzer der Möglichkeit')
('den Berichten', 'der Bericht')
('Nachweisbelege eines Sicherungsprojekts', 'Nachweis Beleg einen Sicherung Projekt')";"('muss', 'müssen')
('bieten', 'bieten')
('enthalten', 'enthalten')
('sein', 'sein')
('sollen', 'sollen')
('anzugeben', 'anzugeben')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Informationen', 'Information')
('Sicherungsprojekts', 'Sicherungsprojekts')";('anzugeben', 'ADJ');"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Informationen', 'Information')
('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Informationen', 'Information')
('Sicherungsprojekts', 'Sicherung Projekt')"
32;"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweisrückverfolgbarkeitslinks zwischen den Nachweis-Items eines Sicherungsprojekts zu spezifizieren.
";"('muss', 'muss')
('bieten', 'bieten')
('spezifizieren', 'spezifizieren')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisrückverfolgbarkeitslinks', 'Nachweisrückverfolgbarkeitslinks')
('Nachweis-Items', 'Nachweis-Items')
('Sicherungsprojekts', 'Sicherungsprojekts')";"('muss', 'VERB')
('bieten', 'VERB')
('spezifizieren', 'VERB')";"('Sicherungsprojekts', 'Sicherung Projekt')
('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Items', 'Nachweis Item')
('Möglichkeit', ' Möglichkeit')
('Nachweisrückverfolgbarkeitslinks', ' Nachweisrückverfolgbarkeitslinks')";"('muss', 'müssen')
('bieten', 'biet')
('spezifizieren', 'spezifizieren')
('Nutzer die Möglichkeit', 'Nutzer die Möglichkeit')
('den Nachweis-Items eines Sicherungsprojekts', 'den Nachweis-Items ein Sicherungsprojekts')";"('muss', 'VB')
('bieten', 'VB')
('spezifizieren', 'VB')";"('Nutzer die Möglichkeit', 'Nutzer der Möglichkeit')
('den Nachweis-Items eines Sicherungsprojekts', 'der Nachweis Item einen Sicherung Projekt')";"('muss', 'müssen')
('bieten', 'bieten')
('spezifizieren', 'spezifizieren')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisrückverfolgbarkeitslinks', 'Nachweisrückverfolgbarkeitslinks')
('Sicherungsprojekts', 'Sicherungsprojekts')";;"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisrückverfolgbarkeitslinks', 'Nachweisrückverfolgbarkeitslinks')
('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisrückverfolgbarkeitslinks', 'Nachweisrückverfolgbarkeitslinks')
('Sicherungsprojekts', 'Sicherung Projekt')"
33;"Die OPENCOSS-Plattform muss die Informationen der Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts gemäß der CCL speichern.
";"('muss', 'muss')
('speichern', 'speichern')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Informationen', 'Information')
('Nachweisrückverfolgbarkeitslinks', 'Nachweisrückverfolgbarkeitslinks')
('Sicherungsprojekts', 'Sicherungsprojekts')
('CCL', 'CCL')";"('muss', 'VERB')
('speichern', 'VERB')";"('Sicherungsprojekts', 'Sicherung Projekt')
('Informationen', ' Information')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweisrückverfolgbarkeitslinks', ' Nachweisrückverfolgbarkeitslinks')
('CCL', ' CCL')";"('muss', 'müssen')
('speichern', 'speichern')
('Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts', 'Nachweisrückverfolgbarkeitslinks ein Sicherungsprojekts')";"('muss', 'VB')
('speichern', 'VB')";('Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts', 'Nachweisrückverfolgbarkeitslinks einen Sicherung Projekt');"('muss', 'müssen')
('speichern', 'speichern')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Informationen', 'Information')
('Nachweisrückverfolgbarkeitslinks', 'Nachweisrückverfolgbarkeitslinks')
('Sicherungsprojekts', 'Sicherungsprojekts')";;"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Informationen', 'Information')
('Nachweisrückverfolgbarkeitslinks', 'Nachweisrückverfolgbarkeitslinks')
('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Informationen', 'Information')
('Nachweisrückverfolgbarkeitslinks', 'Nachweisrückverfolgbarkeitslinks')
('Sicherungsprojekts', 'Sicherung Projekt')"
34;"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, für ein Sicherungsprojekt Link-Typen für die Nachweisrückverfolgbarkeitslinks zu definieren.
";"('muss', 'muss')
('bieten', 'bieten')
('definieren', 'definieren')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Sicherungsprojekt', 'Sicherungsprojekt')
('Link-Typen', 'Link-Typen')
('Nachweisrückverfolgbarkeitslinks', 'Nachweisrückverfolgbarkeitslinks')";"('muss', 'VERB')
('bieten', 'VERB')
('definieren', 'VERB')";"('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Möglichkeit', ' Möglichkeit')
('Link-Typen', ' Link-Typen')
('Nachweisrückverfolgbarkeitslinks', ' Nachweisrückverfolgbarkeitslinks')
('Sicherungsprojekt', 'Sicherung Projekt')";"('muss', 'müssen')
('bieten', 'bieten')
('Sicherungsprojekt', 'Sicherungsprojekt')
('definieren', 'definieren')
('Nutzer die Möglichkeit', 'Nutzer die Möglichkeit')
('Sicherungsprojekt Link-Typen', 'sicherungsprojekt Link-Typen')";"('muss', 'VB')
('bieten', 'VB')
('Sicherungsprojekt', 'JJ')
('definieren', 'VB')";"('Nutzer die Möglichkeit', 'Nutzer der Möglichkeit')
('Sicherungsprojekt Link-Typen', 'Sicherung Projekt Link-Typen')";"('muss', 'müssen')
('bieten', 'bieten')
('definieren', 'definieren')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')";;"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')"
35;"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die in einem anderen Projekt definierten Link-Typen der Nachweisrückverfolgbarkeitslinks in einem Sicherungsprojekt wiederzuverwenden.
";"('muss', 'muss')
('bieten', 'bieten')
('anderen', 'ander')
('definierten', 'definieren')
('wiederzuverwenden', 'wiederzuverwenden')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('anderen Projekt', 'ander Projekt')
('in einem anderen Projekt definierten Link-Typen', 'in einer ander Projekt definieren Link-Typen')
('Nachweisrückverfolgbarkeitslinks', 'Nachweisrückverfolgbarkeitslinks')
('Sicherungsprojekt', 'Sicherungsprojekt')";"('muss', 'VERB')
('bieten', 'VERB')
('anderen', 'ADJ')
('definierten', 'ADJ')
('wiederzuverwenden', 'VERB')";"('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Möglichkeit', ' Möglichkeit')
('Nachweisrückverfolgbarkeitslinks', ' Nachweisrückverfolgbarkeitslinks')
('anderen Projekt', 'anderen Projekt')
('Sicherungsprojekt', 'Sicherung Projekt')
('in einem anderen Projekt definierten Link-Typen', 'in einem anderen Projekt definierten Link-Typen')";"('muss', 'müssen')
('bieten', 'bieten')
('anderen', 'ander')
('definierten', 'definiert')
('Sicherungsprojekt', 'Sicherungsprojekt')
('Nutzer die Möglichkeit', 'Nutzer die Möglichkeit')
('anderen Projekt definierten Link-Typen', 'ander Projekt definiert Link-Typen')
('Sicherungsprojekt wiederzuverwenden', 'sicherungsprojekt wiederzuverwenden')";"('muss', 'VB')
('bieten', 'VB')
('anderen', 'JJ')
('definierten', 'JJ')
('Sicherungsprojekt', 'JJ')";"('Nutzer die Möglichkeit', 'Nutzer der Möglichkeit')
('anderen Projekt definierten Link-Typen', 'ander Projekt definieren Link-Typen')
('Sicherungsprojekt wiederzuverwenden', 'Sicherung Projekt Wiederzu Verwenden')";"('muss', 'müssen')
('bieten', 'bieten')
('anderen', 'andere')
('definierten', 'definiert')
('wiederzuverwenden', 'wiederverwenden')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('definierten Link-Typen', 'definiert Link-Typen')
('Nachweisrückverfolgbarkeitslinks', 'Nachweisrückverfolgbarkeitslinks')";"('andere', 'ADJ')
('definiert', 'ADJ')";"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('definierten Link-Typen', 'definiert Link-Typen')
('Nachweisrückverfolgbarkeitslinks', 'Nachweisrückverfolgbarkeitslinks')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('definierten Link-Typen', 'definiert Link-Typen')
('Nachweisrückverfolgbarkeitslinks', 'Nachweisrückverfolgbarkeitslinks')"
